Jugadores,Goles,Temporada
Aleksandar Sedlar,1,2023-2024
Bruno Langa,1,2023-2024
Marko Milovanović,1,2023-2024
Tadeo Allende,1,2023-2024
Luis Hernández,1,2023-2024
Unai García,1,2023-2024
Theo Corbeanu,1,2023-2024
Cristian Herrera,1,2023-2024
Kaiky,1,2023-2024
Luka Modrić,2,2023-2024
Sergi Darder,2,2023-2024
Dani Rodríguez,2,2023-2024
João Cancelo,2,2023-2024
Jonathan Viera,2,2023-2024
Álex Baena,2,2023-2024
Federico Valverde,2,2023-2024
Miguel Gutiérrez,2,2023-2024
Javi Muñoz,2,2023-2024
Carlos Vicente,2,2023-2024
Nahuel Molina,2,2023-2024
Valery Fernández,2,2023-2024
Santi Comesaña,2,2023-2024
Matija Nastasić,2,2023-2024
Unai Gómez,2,2023-2024
Guido Rodríguez,2,2023-2024
Chimy Ávila,2,2023-2024
Roger Martí,2,2023-2024
Óscar Mingueza,2,2023-2024
Ilias Akhomach,2,2023-2024
Andreas Christensen,2,2023-2024
Alberto Moreno,2,2023-2024
Marc Roca,2,2023-2024
Sheraldo Becker,2,2023-2024
Facundo Pellistri,2,2023-2024
Aimar Oroz,2,2023-2024
Rubén Duarte,2,2023-2024
José Manuel Arnáiz,2,2023-2024
Óscar Rodríguez,2,2023-2024
Ivan Rakitic,2,2023-2024
Asier Villalibre,2,2023-2024
André Almeida,2,2023-2024
Álex Suárez,2,2023-2024
Gastón Álvarez,2,2023-2024
Jorge de Frutos,2,2023-2024
Axel Witsel,2,2023-2024
Carlos Fernández,2,2023-2024
Robin Le Normand,2,2023-2024
Edgar González,2,2023-2024
Juanmi Latasa,2,2023-2024
Reinildo Mandava,2,2023-2024
Yerson Mosquera,2,2023-2024
Aitor Ruibal,2,2023-2024
Bruno Méndez,2,2023-2024
Rafa Mir,2,2023-2024
Vitor Roque,2,2023-2024
Erik Lamela,2,2023-2024
Juanma Herzog,2,2023-2024
Sergio Akieme,2,2023-2024
Assane Diao,2,2023-2024
Pejiño,2,2023-2024
Bebé,2,2023-2024
Frenkie de Jong,2,2023-2024
Iker Muniain,2,2023-2024
David López,3,2023-2024
Moi Gómez,3,2023-2024
Umar Sadiq,3,2023-2024
Juanmi,3,2023-2024
Sergio Ramos,3,2023-2024
André Silva,3,2023-2024
Roman Yaremchuk,3,2023-2024
Choco Lozano,3,2023-2024
Kike Salas,3,2023-2024
Luka Romero,3,2023-2024
Kike García,3,2023-2024
Cyle Larin,3,2023-2024
Adrián Embarba,3,2023-2024
Munir El Haddadi,3,2023-2024
Alberto Moleiro,3,2023-2024
Jon Guridi,3,2023-2024
Largie Ramazani,3,2023-2024
Dani Parejo,3,2023-2024
Rodrigo Riquelme,3,2023-2024
Rodrigo De Paul,3,2023-2024
Diego López,3,2023-2024
Aleix García,3,2023-2024
Lucas Vázquez,3,2023-2024
Antonio Raíllo,3,2023-2024
Jonathan Bamba,3,2023-2024
Yuri Berchiche,3,2023-2024
Aurélien Tchouaméni,3,2023-2024
Mikel Vesga,3,2023-2024
Antonio Sánchez,3,2023-2024
Jorge Cuenca,3,2023-2024
Carlos Protesoni,3,2023-2024
Sergio Camello,3,2023-2024
Rubén García,3,2023-2024
Ricard Sánchez,3,2023-2024
Rubén Alcaraz,3,2023-2024
Florian Lejeune,3,2023-2024
Sergi Roberto,3,2023-2024
Pablo Fornals,3,2023-2024
Gonçalo Guedes,3,2023-2024
Darwin Machís,4,2023-2024
Iker Muñoz,4,2023-2024
Nemanja Maksimovic,4,2023-2024
Marc Cardona,4,2023-2024
Ander Barrenetxea,4,2023-2024
Martín Zubimendi,4,2023-2024
Javi Guerra,4,2023-2024
Isi Palazón,4,2023-2024
Pedri,4,2023-2024
Daniel Carvajal,4,2023-2024
Lucas Ocampos,4,2023-2024
Isaac Romero,4,2023-2024
Oihan Sancet,4,2023-2024
Samuel Lino,4,2023-2024
Williot Swedberg,5,2023-2024
Yangel Herrera,5,2023-2024
Eric García,5,2023-2024
Dodi Lukébakio,5,2023-2024
Memphis Depay,5,2023-2024
İlkay Gündoğan,5,2023-2024
Lamine Yamal,5,2023-2024
Brais Méndez,5,2023-2024
Luis Rioja,5,2023-2024
Iván Martín,5,2023-2024
Mikel Merino,5,2023-2024
Chris Ramos,5,2023-2024
Nico Williams,5,2023-2024
Jaime Mata,5,2023-2024
Raúl García,6,2023-2024
Abdón Prats,6,2023-2024
Bryan Zaragoza,6,2023-2024
Léo Baptistão,6,2023-2024
Luis Suárez,6,2023-2024
Arda Güler,6,2023-2024
Álvaro García,6,2023-2024
Kirian Rodríguez,6,2023-2024
Lucas Boyé,6,2023-2024
Marcos Llorente,6,2023-2024
Raphinha,6,2023-2024
José Luis Morales,7,2023-2024
Anastasios Douvikas,7,2023-2024
Pepelu,7,2023-2024
Vedat Muriqi,7,2023-2024
Ferran Torres,7,2023-2024
João Félix,7,2023-2024
Álex Berenguer,7,2023-2024
Takefusa Kubo,7,2023-2024
Portu,7,2023-2024
Fermín López,8,2023-2024
Isco,8,2023-2024
Mason Greenwood,8,2023-2024
Viktor Tsygankov,8,2023-2024
Brahim Díaz,8,2023-2024
Ayoze Pérez,9,2023-2024
Samu Aghehowa,9,2023-2024
Ángel Correa,9,2023-2024
Cristhian Stuani,9,2023-2024
Mikel Oyarzabal,9,2023-2024
Sergio Arribas,9,2023-2024
Iago Aspas,9,2023-2024
Savinho,9,2023-2024
Joselu,10,2023-2024
Willian José,10,2023-2024
Rodrygo,10,2023-2024
Gerard Moreno,10,2023-2024
Myrto Uzuni,11,2023-2024
Iñaki Williams,12,2023-2024
Jørgen Strand Larsen,13,2023-2024
Hugo Duro,13,2023-2024
Gorka Guruzeta,14,2023-2024
Borja Mayoral,15,2023-2024
Álvaro Morata,15,2023-2024
Vinicius Junior,15,2023-2024
Youssef En-Nesyri,16,2023-2024
Antoine Griezmann,16,2023-2024
Ante Budimir,17,2023-2024
Robert Lewandowski,19,2023-2024
Jude Bellingham,19,2023-2024
Alexander Sørloth,23,2023-2024
Artem Dovbyk,24,2023-2024
Jacobo Ramón,1,2024-2025
Arsen Zakharyan,1,2024-2025
Manu Sánchez,1,2024-2025
Omar Mascarell,1,2024-2025
Beñat Prados,1,2024-2025
Carl Starfelt,1,2024-2025
Robin Le Normand,1,2024-2025
Dário Essugo,1,2024-2025
Alejo Veliz,1,2024-2025
Matija Nastasić,1,2024-2025
Jorge Sáenz,1,2024-2025
Robert Navarro,1,2024-2025
Bertuğ Yıldırım,1,2024-2025
Domingos Duarte,1,2024-2025
Tomás Conechny,1,2024-2025
Iker Losada,1,2024-2025
Yeray Álvarez,1,2024-2025
Fernando Calero,1,2024-2025
Gavi,1,2024-2025
Walid Cheddira,1,2024-2025
Jon Ander Olasagasti,1,2024-2025
Endrick,1,2024-2025
Denis Suárez,1,2024-2025
Coba da Costa,1,2024-2025
Carlos Protesoni,1,2024-2025
Asier Villalibre,1,2024-2025
Irvin Cardona,1,2024-2025
Pau Cabanes,1,2024-2025
Stanis Idumbo,1,2024-2025
Éder Militão,1,2024-2025
Ronald Araujo,1,2024-2025
Cristhian Mosquera,1,2024-2025
Renato Tapia,1,2024-2025
Omar Alderete,1,2024-2025
Maroan Sannadi,1,2024-2025
Tajon Buchanan,1,2024-2025
Assane Diao,1,2024-2025
Adrián Embarba,1,2024-2025
Jon Aramburu,1,2024-2025
Ilaix Moriba,1,2024-2025
Koke,1,2024-2025
Iván Martín,1,2024-2025
Loïc Badé,1,2024-2025
Nemanja Gudelj,1,2024-2025
Adrià Pedrosa,1,2024-2025
Natan,1,2024-2025
Yvan Neyou,1,2024-2025
David López,1,2024-2025
Pablo Ibáñez,1,2024-2025
Peque Fernández,1,2024-2025
Unai Gómez,1,2024-2025
Ander Barrenetxea,1,2024-2025
Aitor Ruibal,1,2024-2025
Gerard Martín,1,2024-2025
Marc Casadó,1,2024-2025
Johan Mojica,1,2024-2025
Valentin Rosier,1,2024-2025
Enzo Barrenechea,1,2024-2025
Darko Brasanac,1,2024-2025
Luka Sucic,1,2024-2025
Portu,1,2024-2025
Pablo Marín,1,2024-2025
Marcos André,1,2024-2025
Allan Nyom,1,2024-2025
Rafa Mir,1,2024-2025
Eduardo Camavinga,1,2024-2025
Sergi Cardona,1,2024-2025
Bryan Zaragoza,1,2024-2025
Saúl Ñíguez,1,2024-2025
Lucas Vázquez,1,2024-2025
Miguel Gutiérrez,1,2024-2025
Luis Milla,1,2024-2025
Pablo Barrios,1,2024-2025
Óscar Rodríguez,1,2024-2025
Álvaro Tejero,1,2024-2025
Javi Muñoz,1,2024-2025
Alejandro Catena,1,2024-2025
Lucien Agoumé,1,2024-2025
Miguel de la Fuente,1,2024-2025
Oscar Trejo,1,2024-2025
Juan Foyth,1,2024-2025
Jhon Solís,1,2024-2025
Jorge Herrando,1,2024-2025
Álvaro Djaló,1,2024-2025
Jesús Navas,1,2024-2025
César Azpilicueta,1,2024-2025
Stefan Bajcetic,1,2024-2025
Enric Franquesa,1,2024-2025
Ilias Akhomach,1,2024-2025
Gabriel Misehouy,1,2024-2025
Manu Bueno,1,2024-2025
Daniel Carvajal,1,2024-2025
García Pascual,1,2024-2025
Ramón Martínez,1,2024-2025
Karl Etta Eyong,1,2024-2025
Carlos Romero,2,2024-2025
César Tárrega,2,2024-2025
Nahuel Tenaglia,2,2024-2025
Fran Beltrán,2,2024-2025
Pepelu,2,2024-2025
Marc Roca,2,2024-2025
Eric García,2,2024-2025
Martín Zubimendi,2,2024-2025
Cédric Bakambu,2,2024-2025
Bojan Miovski,2,2024-2025
Mikel Jauregizar,2,2024-2025
Arnau Martínez,2,2024-2025
Romain Perraud,2,2024-2025
Donny van de Beek,2,2024-2025
Frenkie de Jong,2,2024-2025
Carlos Martín,2,2024-2025
Giuliano Simeone,2,2024-2025
Sergio Gómez,2,2024-2025
Viktor Tsygankov,2,2024-2025
Marcos Llorente,2,2024-2025
Florian Lejeune,2,2024-2025
Andrei Rațiu,2,2024-2025
Sergi Darder,2,2024-2025
Luka Modrić,2,2024-2025
Jules Koundé,2,2024-2025
Abde Ezzalzouli,2,2024-2025
Sheraldo Becker,2,2024-2025
Takuma Asano,2,2024-2025
Pau Víctor,2,2024-2025
Dani Gómez,2,2024-2025
Mouctar Diakhaby,2,2024-2025
Arkaitz Mariezkurrena,2,2024-2025
Yan Diomande,2,2024-2025
Enzo Boyomo,2,2024-2025
Antonio Raíllo,2,2024-2025
Sergio González,2,2024-2025
Abel Bretones,2,2024-2025
Diego Llorente,2,2024-2025
Anuar,2,2024-2025
Pablo Fornals,2,2024-2025
Javi Sánchez,2,2024-2025
Abdón Prats,2,2024-2025
Álvaro Rodríguez,2,2024-2025
Chimy Ávila,2,2024-2025
Kike Pérez,2,2024-2025
Valery Fernández,2,2024-2025
Chuki,2,2024-2025
Fer López,2,2024-2025
Iván Sánchez,2,2024-2025
Logan Costa,2,2024-2025
Javi Hernández,2,2024-2025
Djibril Sow,2,2024-2025
Ladislav Krejci,2,2024-2025
Manu Fuster,2,2024-2025
Marc Bartra,2,2024-2025
Chidera Ejuke,2,2024-2025
Abdul Mumin,2,2024-2025
Clément Lenglet,2,2024-2025
Adnan Januzaj,2,2024-2025
Rubén Vargas,2,2024-2025
Jesús Rodríguez,2,2024-2025
Unai López,3,2024-2025
Sergio Camello,3,2024-2025
Gerard Moreno,3,2024-2025
Jon Guridi,3,2024-2025
Seydouba Cissé,3,2024-2025
Johnny Cardoso,3,2024-2025
Selim Amallah,3,2024-2025
Brais Méndez,3,2024-2025
Kike Salas,3,2024-2025
Javi Rodríguez,3,2024-2025
Bryan Gil,3,2024-2025
Conor Gallagher,3,2024-2025
Javi Guerra,3,2024-2025
Dani Parejo,3,2024-2025
Samuel Lino,3,2024-2025
Jofre Carreras,3,2024-2025
Arda Güler,3,2024-2025
Rodrigo De Paul,3,2024-2025
Nicolas Pépé,3,2024-2025
Orri Óskarsson,3,2024-2025
Aitor Paredes,3,2024-2025
Pere Milla,3,2024-2025
Álex Muñoz,3,2024-2025
Randy Nteka,3,2024-2025
Pedro Díaz,3,2024-2025
Yáser Asprilla,3,2024-2025
Anastasios Douvikas,3,2024-2025
Pablo Torre,3,2024-2025
Lucas Torró,3,2024-2025
Marash Kumbulla,3,2024-2025
Marcos Alonso,3,2024-2025
Martin Valjent,3,2024-2025
Juanmi Latasa,3,2024-2025
Diego García,3,2024-2025
Carles Pérez,3,2024-2025
Oli McBurnie,3,2024-2025
Abel Ruiz,4,2024-2025
Munir El Haddadi,4,2024-2025
Arnaut Danjuma,4,2024-2025
Toni Martínez,4,2024-2025
Raúl García,4,2024-2025
Dani Vivian,4,2024-2025
Pape Gueye,4,2024-2025
Ramón Terrats,4,2024-2025
Ángel Correa,4,2024-2025
Pathé Ciss,4,2024-2025
Vitor Roque,4,2024-2025
Isaac Romero,4,2024-2025
Brahim Díaz,4,2024-2025
Leandro Cabrera,4,2024-2025
Santi Comesaña,4,2024-2025
Álvaro García,4,2024-2025
Raúl Moro,4,2024-2025
Williot Swedberg,4,2024-2025
Yéremy Pino,4,2024-2025
Dani Rodríguez,4,2024-2025
Óscar Mingueza,4,2024-2025
Christantus Uche,4,2024-2025
Pedri,4,2024-2025
Juanlu Sánchez,4,2024-2025
Pablo Durán,4,2024-2025
Yangel Herrera,4,2024-2025
Isi Palazón,4,2024-2025
Hugo Álvarez,4,2024-2025
Cucho Hernández,5,2024-2025
Umar Sadiq,5,2024-2025
Takefusa Kubo,5,2024-2025
Borja Mayoral,5,2024-2025
Mamadou Sylla,5,2024-2025
Antony,5,2024-2025
Joan Jordán,5,2024-2025
Alfon González,5,2024-2025
Luis Rioja,5,2024-2025
Juan Cruz,5,2024-2025
Aimar Oroz,5,2024-2025
Nico Williams,5,2024-2025
Rubén García,5,2024-2025
Carlos Vicente,5,2024-2025
Roberto Fernández,6,2024-2025
Alberto Moleiro,6,2024-2025
Jorge de Frutos,6,2024-2025
Federico Valverde,6,2024-2025
Fermín López,6,2024-2025
Rodrygo,6,2024-2025
Iñaki Williams,6,2024-2025
Álex Berenguer,6,2024-2025
Vedat Muriqi,7,2024-2025
Cyle Larin,7,2024-2025
Gorka Guruzeta,7,2024-2025
Álex Baena,7,2024-2025
Giovani Lo Celso,8,2024-2025
Dani Raba,8,2024-2025
Diego López,8,2024-2025
Antoine Griezmann,8,2024-2025
Sandro Ramírez,9,2024-2025
Mikel Oyarzabal,9,2024-2025
Isco,9,2024-2025
Jude Bellingham,9,2024-2025
Lamine Yamal,9,2024-2025
Mauro Arambarri,10,2024-2025
Fábio Silva,10,2024-2025
Dani Olmo,10,2024-2025
Ferran Torres,10,2024-2025
Iago Aspas,10,2024-2025
Dodi Lukébakio,11,2024-2025
Cristhian Stuani,11,2024-2025
Borja Iglesias,11,2024-2025
Thierno Barry,11,2024-2025
Vinicius Junior,11,2024-2025
Hugo Duro,11,2024-2025
Javi Puado,12,2024-2025
Kike García,13,2024-2025
Oihan Sancet,15,2024-2025
Julián Alvarez,17,2024-2025
Raphinha,18,2024-2025
Ayoze Pérez,19,2024-2025
Alexander Sørloth,20,2024-2025
Ante Budimir,21,2024-2025
Robert Lewandowski,27,2024-2025
Kylian Mbappé,31,2024-2025
Nahuel Tenaglia,1,2025-2026
Isi Palazón,1,2025-2026
Pablo Fornals,1,2025-2026
Cucho Hernández,1,2025-2026
Jeremy Toljan,1,2025-2026
Carlos Romero,1,2025-2026
Christantus Uche,1,2025-2026
Mikel Oyarzabal,1,2025-2026
Giovani Lo Celso,1,2025-2026
Julián Alvarez,1,2025-2026
Jorge de Frutos,1,2025-2026
Javi Rueda,1,2025-2026
Roberto Fernández,1,2025-2026
Nico Williams,1,2025-2026
Mateu Morey,1,2025-2026
Toni Martínez,1,2025-2026
Arnaut Danjuma,1,2025-2026
Hugo Duro,1,2025-2026
Pedri,1,2025-2026
Giuliano Simeone,1,2025-2026
Pablo Barrios,1,2025-2026
Joel Roca,1,2025-2026
Mario Martín,1,2025-2026
Rodrigo Mendoza,1,2025-2026
Maroan Sannadi,1,2025-2026
Diego López,1,2025-2026
Ander Barrenetxea,1,2025-2026
Aitor Paredes,1,2025-2026
Miguel Rubio,1,2025-2026
Carlos Vicente,1,2025-2026
Raúl García,1,2025-2026
Cédric Bakambu,1,2025-2026
Marc Bartra,1,2025-2026
Kike García,1,2025-2026
Álvaro García,1,2025-2026
José Luis Morales,1,2025-2026
Takefusa Kubo,1,2025-2026
Alexander Sørloth,1,2025-2026
Javi Puado,1,2025-2026
Pape Gueye,1,2025-2026
André Silva,1,2025-2026
Leander Dendoncker,1,2025-2026
Ante Budimir,1,2025-2026
Lucien Agoumé,1,2025-2026
Hugo Álvarez,1,2025-2026
Oihan Sancet,1,2025-2026
Aitor Ruibal,1,2025-2026
Mouctar Diakhaby,1,2025-2026
Iker Benito,1,2025-2026
Robert Navarro,1,2025-2026
Nico González,1,2025-2026
Vladyslav Vanat,1,2025-2026
Fran Pérez,1,2025-2026
Borja Mayoral,1,2025-2026
Alfon González,1,2025-2026
Dodi Lukébakio,1,2025-2026
Orri Óskarsson,1,2025-2026
Rafa Marín,1,2025-2026
Germán Valera,1,2025-2026
Peque Fernández,1,2025-2026
Iván Romero,2,2025-2026
Robert Lewandowski,2,2025-2026
Isaac Romero,2,2025-2026
Lamine Yamal,2,2025-2026
Fermín López,2,2025-2026
Vinicius Junior,2,2025-2026
Nicolas Pépé,2,2025-2026
Ferran Torres,2,2025-2026
Arda Güler,2,2025-2026
Borja Iglesias,2,2025-2026
Karl Etta Eyong,2,2025-2026
Tajon Buchanan,3,2025-2026
Raphinha,3,2025-2026
Rafa Mir,3,2025-2026
Adrián Liso,3,2025-2026
Vedat Muriqi,3,2025-2026
Pere Milla,3,2025-2026
Kylian Mbappé,4,2025-2026
